Time	Sim Time	Solar Alt	Panel Eff	Port	Voltage	Current
17Sep21 21:39:46	 0.00hr	24.96	96.46	com9	29.86	 5.87
17Sep21 21:39:46	 0.00hr	24.96	96.46	com10	40.00	 0.00
17Sep21 21:39:46	 0.00hr	24.96	96.46	com11	40.00	 0.00
17Sep21 21:39:46	 0.00hr	24.96	96.46	com12	39.99	 0.00
17Sep21 21:39:46	 0.00hr	24.96	96.46	com13	29.92	 5.87
17Sep21 21:39:46	 0.00hr	24.96	96.46	com8	 1.98	 0.00
17Sep21 21:39:46	 0.00hr	24.96	96.46	com7	27.90	 6.99
17Sep21 21:39:48	 0.00hr	24.95	96.46	com9	29.85	 5.87
17Sep21 21:39:48	 0.00hr	24.95	96.46	com10	40.00	 0.00
17Sep21 21:39:48	 0.00hr	24.95	96.46	com11	40.00	 0.00
17Sep21 21:39:48	 0.00hr	24.95	96.46	com12	39.99	 0.00
17Sep21 21:39:48	 0.00hr	24.95	96.46	com13	29.86	 5.87
17Sep21 21:39:48	 0.00hr	24.95	96.46	com8	 1.98	 0.00
17Sep21 21:39:48	 0.00hr	24.95	96.46	com7	27.89	 6.99
17Sep21 21:39:51	 0.00hr	24.94	96.47	com9	29.85	 5.87
17Sep21 21:39:51	 0.00hr	24.94	96.47	com10	40.00	 0.00
17Sep21 21:39:51	 0.00hr	24.94	96.47	com11	40.00	 0.00
17Sep21 21:39:51	 0.00hr	24.94	96.47	com12	39.99	 0.00
17Sep21 21:39:51	 0.00hr	24.94	96.47	com13	29.86	 5.87
17Sep21 21:39:51	 0.00hr	24.94	96.47	com8	 1.98	 0.00
17Sep21 21:39:51	 0.00hr	24.94	96.47	com7	27.89	 6.99
17Sep21 21:39:54	 0.00hr	24.94	96.47	com9	29.85	 5.87
17Sep21 21:39:54	 0.00hr	24.94	96.47	com10	40.00	 0.00
17Sep21 21:39:54	 0.00hr	24.94	96.47	com11	40.00	 0.00
17Sep21 21:39:54	 0.00hr	24.94	96.47	com12	39.99	 0.00
17Sep21 21:39:54	 0.00hr	24.94	96.47	com13	29.89	 5.87
17Sep21 21:39:54	 0.00hr	24.94	96.47	com8	 1.98	 0.00
17Sep21 21:39:54	 0.00hr	24.94	96.47	com7	27.89	 6.99
17Sep21 21:39:57	 0.00hr	24.93	96.47	com9	29.85	 5.87
