Time	Sim Time	ID	Voltage	Bat Temp[C]	HeatSink Temp[C]	Status	SOC	Current
09Nov21 17:55:53	 0.00hr	0009	28.779	024	024	0000	099	-2.083
09Nov21 17:55:53	 0.00hr	0008	28.779	025	026	0000	098	-2.927
09Nov21 17:55:56	 0.00hr	0009	28.833	024	024	0000	099	+0.536
09Nov21 17:55:56	 0.00hr	0008	28.870	025	026	0000	098	+1.874
09Nov21 17:55:59	 0.00hr	0009	28.815	024	024	0000	099	+0.298
09Nov21 17:55:59	 0.00hr	0008	28.834	025	026	0000	098	+1.054
09Nov21 17:56:01	 0.00hr	0009	28.815	024	024	0000	099	+0.060
09Nov21 17:56:01	 0.00hr	0008	28.834	025	026	0000	098	+0.703
09Nov21 17:56:04	 0.00hr	0009	28.815	024	024	0000	099	+0.060
09Nov21 17:56:04	 0.00hr	0008	28.834	025	026	0000	098	+0.585
09Nov21 17:56:07	 0.00hr	0009	28.815	024	024	0000	099	+0.000
09Nov21 17:56:07	 0.00hr	0008	28.834	025	026	0000	098	+0.644
09Nov21 17:56:10	 0.00hr	0009	28.815	024	024	0000	099	+0.000
09Nov21 17:56:10	 0.00hr	0008	28.834	025	026	0000	098	+0.527
09Nov21 17:56:12	 0.01hr	0009	28.797	024	024	0000	099	-0.060
09Nov21 17:56:12	 0.01hr	0008	28.852	025	025	0000	098	+0.351
09Nov21 17:56:15	 0.01hr	0009	28.815	024	024	0000	099	-0.060
09Nov21 17:56:15	 0.01hr	0008	28.834	025	026	0000	098	+0.351
09Nov21 17:56:18	 0.01hr	0009	28.815	024	024	0000	099	+0.000
09Nov21 17:56:18	 0.01hr	0008	28.834	025	026	0000	098	+0.410
09Nov21 17:56:21	 0.01hr	0009	28.815	024	024	0000	099	+0.060
09Nov21 17:56:21	 0.01hr	0008	28.834	025	026	0000	098	+0.644
09Nov21 17:56:23	 0.01hr	0009	28.797	024	024	0000	099	+0.060
09Nov21 17:56:23	 0.01hr	0008	28.834	025	026	0000	098	+0.644
09Nov21 17:56:26	 0.01hr	0009	28.797	024	024	0000	099	+0.000
09Nov21 17:56:26	 0.01hr	0008	28.834	025	026	0000	098	+0.644
09Nov21 17:56:29	 0.01hr	0009	28.797	024	024	0000	099	+0.000
09Nov21 17:56:29	 0.01hr	0008	28.834	025	026	0000	098	+0.468
09Nov21 17:56:32	 0.01hr	0009	28.815	024	024	0000	099	+0.000
09Nov21 17:56:32	 0.01hr	0008	28.834	025	026	0000	098	+0.410
09Nov21 17:56:34	 0.01hr	0009	28.815	024	024	0000	099	-0.060
09Nov21 17:56:34	 0.01hr	0008	28.834	025	026	0000	098	+0.410
09Nov21 17:56:37	 0.01hr	0009	28.815	024	024	0000	099	+0.000
09Nov21 17:56:37	 0.01hr	0008	28.852	025	026	0000	098	+0.351
09Nov21 17:56:40	 0.01hr	0009	28.815	024	024	0000	099	+0.000
09Nov21 17:56:40	 0.01hr	0008	28.834	025	026	0000	098	+0.585
