Time	Sim Time	ID	Voltage	Bat Temp[C]	HeatSink Temp[C]	Status	SOC	Current
09Nov21 13:48:28	 0.00hr	0009	28.761	022	023	0000	098	-0.298
Time	Sim Time	ID	Voltage	Bat Temp[C]	HeatSink Temp[C]	Status	SOC	Current
09Nov21 13:48:55	 0.00hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:48:55	 0.00hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 13:48:58	 0.00hr	0009	28.779	022	023	0000	098	-0.357
09Nov21 13:48:58	 0.00hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 13:49:00	 0.00hr	0009	28.779	022	023	0000	098	-0.357
09Nov21 13:49:00	 0.00hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 13:49:03	 0.00hr	0009	28.761	022	023	0000	098	-0.357
09Nov21 13:49:03	 0.00hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:49:06	 0.00hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:49:06	 0.00hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:49:09	 0.00hr	0009	28.761	022	023	0000	098	-0.298
09Nov21 13:49:09	 0.00hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:49:11	 0.00hr	0009	28.761	022	023	0000	098	-0.357
09Nov21 13:49:11	 0.00hr	0008	28.671	023	024	0000	090	-0.468
09Nov21 13:49:14	 0.01hr	0009	28.779	022	023	0000	098	-0.357
09Nov21 13:49:14	 0.01hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 13:49:17	 0.01hr	0009	28.761	022	023	0000	098	-0.298
09Nov21 13:49:17	 0.01hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 13:49:20	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:49:20	 0.01hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 13:49:23	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:49:23	 0.01hr	0008	28.671	023	024	0000	090	-0.468
09Nov21 13:49:25	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:49:25	 0.01hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 13:49:28	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:49:28	 0.01hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:49:31	 0.01hr	0009	28.761	022	023	0000	098	-0.357
09Nov21 13:49:31	 0.01hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 13:49:34	 0.01hr	0009	28.761	022	023	0000	098	-0.298
09Nov21 13:49:34	 0.01hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 13:49:36	 0.01hr	0009	28.779	022	023	0000	098	-0.357
09Nov21 13:49:36	 0.01hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:49:39	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:49:39	 0.01hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 13:49:42	 0.01hr	0009	28.761	022	023	0000	098	-0.298
09Nov21 13:49:42	 0.01hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 13:49:45	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:49:45	 0.01hr	0008	28.671	023	024	0000	090	-0.468
09Nov21 13:49:48	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:49:48	 0.01hr	0008	28.653	023	024	0000	090	-0.468
