Time	Sim Time	ID	Voltage	Bat Temp[C]	HeatSink Temp[C]	Status	SOC	Current
09Nov21 14:39:03	 0.00hr	0009	28.779	023	023	0000	099	-0.179
09Nov21 14:39:03	 0.00hr	0008	28.779	026	025	0000	099	-0.059
09Nov21 14:39:06	 0.00hr	0009	28.779	023	023	0000	099	+1.131
09Nov21 14:39:06	 0.00hr	0008	28.797	026	026	0000	099	+3.337
09Nov21 14:39:09	 0.00hr	0009	28.797	023	023	0000	099	+1.250
09Nov21 14:39:09	 0.00hr	0008	28.815	026	025	0000	099	+3.513
09Nov21 14:39:12	 0.00hr	0009	28.797	023	023	0000	099	+1.190
09Nov21 14:39:12	 0.00hr	0008	28.815	026	025	0000	099	+3.513
09Nov21 14:39:14	 0.00hr	0009	28.797	023	023	0000	099	+1.250
09Nov21 14:39:14	 0.00hr	0008	28.815	026	026	0000	099	+3.396
09Nov21 14:39:17	 0.00hr	0009	28.797	023	023	0000	099	+1.190
09Nov21 14:39:17	 0.00hr	0008	28.815	026	025	0000	099	+3.396
09Nov21 14:39:20	 0.00hr	0009	28.797	023	023	0000	100	+1.190
09Nov21 14:39:20	 0.00hr	0008	28.815	026	026	0000	100	+3.454
09Nov21 14:39:23	 0.01hr	0009	28.797	023	023	0000	100	+1.250
09Nov21 14:39:23	 0.01hr	0008	28.815	026	025	0000	100	+3.396
09Nov21 14:39:25	 0.01hr	0009	28.779	023	023	0001	100	+1.190
09Nov21 14:39:25	 0.01hr	0008	28.815	026	026	0001	100	+3.396
09Nov21 14:39:28	 0.01hr	0009	28.779	023	023	0001	100	+1.250
09Nov21 14:39:28	 0.01hr	0008	28.815	026	026	0001	100	+3.337
09Nov21 14:39:31	 0.01hr	0009	28.797	023	023	0001	100	+1.250
09Nov21 14:39:31	 0.01hr	0008	28.815	026	026	0001	100	+3.454
09Nov21 14:39:34	 0.01hr	0009	28.779	023	023	0001	100	+1.250
09Nov21 14:39:34	 0.01hr	0008	28.815	026	026	0001	100	+3.396
09Nov21 14:39:36	 0.01hr	0009	28.779	023	023	0001	100	+1.250
09Nov21 14:39:36	 0.01hr	0008	28.815	026	026	0001	100	+3.337
09Nov21 14:39:39	 0.01hr	0009	28.797	023	023	0001	100	+1.250
09Nov21 14:39:39	 0.01hr	0008	28.815	026	026	0001	100	+3.396
09Nov21 14:39:42	 0.01hr	0009	28.779	023	023	0001	100	+1.250
09Nov21 14:39:42	 0.01hr	0008	28.815	026	026	0001	100	+3.396
09Nov21 14:39:44	 0.01hr	0009	28.779	023	023	0001	100	+1.250
09Nov21 14:39:44	 0.01hr	0008	28.815	026	025	0001	100	+3.337
09Nov21 14:39:47	 0.01hr	0009	28.779	023	023	0001	100	+1.190
09Nov21 14:39:47	 0.01hr	0008	28.815	026	025	0001	100	+3.396
09Nov21 14:39:50	 0.01hr	0009	28.797	023	023	0001	100	+1.250
09Nov21 14:39:50	 0.01hr	0008	28.815	026	026	0001	100	+3.337
09Nov21 14:39:53	 0.01hr	0009	28.797	023	023	0001	100	+1.250
09Nov21 14:39:53	 0.01hr	0008	28.815	026	026	0001	100	+3.337
09Nov21 14:39:55	 0.01hr	0009	28.779	023	023	0001	100	+1.250
09Nov21 14:39:55	 0.01hr	0008	28.815	026	026	0001	100	+3.396
09Nov21 14:39:58	 0.02hr	0009	28.797	023	023	0001	100	+1.190
