Time	Sim Time	ID	Voltage	Bat Temp[C]	HeatSink Temp[C]	Status	SOC	Current
09Nov21 14:00:06	 0.00hr	0009	28.761	022	023	0000	098	-0.298
09Nov21 14:00:06	 0.00hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 14:00:09	 0.00hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 14:00:09	 0.00hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 14:00:12	 0.00hr	0009	28.761	022	023	0000	098	-0.298
09Nov21 14:00:12	 0.00hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 14:00:14	 0.00hr	0009	28.761	022	023	0000	098	-0.298
09Nov21 14:00:14	 0.00hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 14:00:18	 0.00hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 14:00:18	 0.00hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 14:00:23	 0.00hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 14:00:23	 0.00hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 14:00:26	 0.01hr	0009	28.761	022	023	0000	098	-0.357
09Nov21 14:00:26	 0.01hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 14:00:30	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 14:00:30	 0.01hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 14:00:34	 0.01hr	0009	28.761	022	023	0000	098	-0.298
09Nov21 14:00:34	 0.01hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 14:00:37	 0.01hr	0009	28.761	022	023	0000	098	-0.298
09Nov21 14:00:37	 0.01hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 14:00:39	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 14:00:39	 0.01hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 14:00:42	 0.01hr	0009	28.761	022	023	0000	098	-0.238
09Nov21 14:00:42	 0.01hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 14:00:45	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 14:00:45	 0.01hr	0008	28.671	023	024	0000	090	-0.468
09Nov21 14:00:48	 0.01hr	0009	28.761	022	023	0000	098	-0.298
09Nov21 14:00:48	 0.01hr	0008	28.653	023	024	0000	090	-0.468
