Time	Sim Time	Solar Alt	Panel Eff	Port	Voltage	Current
09Nov21 14:06:58	 0.00hr	24.96	96.46	com23	30.11	 5.87
09Nov21 14:06:58	 0.00hr	24.96	96.46	com24	39.98	 0.00
09Nov21 14:06:58	 0.00hr	24.96	96.46	com25	39.99	 0.00
09Nov21 14:06:58	 0.00hr	24.96	96.46	com26	40.00	 0.00
09Nov21 14:06:58	 0.00hr	24.96	96.46	com27	39.99	 0.00
09Nov21 14:06:58	 0.00hr	24.96	96.46	com28	40.00	 0.00
09Nov21 14:07:01	 0.00hr	24.95	96.46	com23	30.09	 5.71
09Nov21 14:07:01	 0.00hr	24.95	96.46	com24	39.99	 0.00
09Nov21 14:07:01	 0.00hr	24.95	96.46	com25	40.00	 0.00
09Nov21 14:07:01	 0.00hr	24.95	96.46	com26	40.00	 0.00
09Nov21 14:07:01	 0.00hr	24.95	96.46	com27	40.00	 0.00
09Nov21 14:07:01	 0.00hr	24.95	96.46	com28	40.01	 0.00
09Nov21 14:07:04	 0.00hr	24.94	96.47	com23	30.08	 5.71
09Nov21 14:07:04	 0.00hr	24.94	96.47	com24	39.99	 0.00
09Nov21 14:07:04	 0.00hr	24.94	96.47	com25	40.00	 0.00
09Nov21 14:07:04	 0.00hr	24.94	96.47	com26	40.00	 0.00
09Nov21 14:07:04	 0.00hr	24.94	96.47	com27	40.00	 0.00
09Nov21 14:07:04	 0.00hr	24.94	96.47	com28	40.01	 0.00
09Nov21 14:07:07	 0.00hr	24.94	96.47	com23	30.08	 5.71
09Nov21 14:07:07	 0.00hr	24.94	96.47	com24	39.99	 0.00
09Nov21 14:07:07	 0.00hr	24.94	96.47	com25	40.00	 0.00
09Nov21 14:07:07	 0.00hr	24.94	96.47	com26	40.01	 0.00
09Nov21 14:07:07	 0.00hr	24.94	96.47	com27	40.00	 0.00
09Nov21 14:07:07	 0.00hr	24.94	96.47	com28	40.01	 0.00
09Nov21 14:07:09	 0.00hr	24.93	96.47	com23	30.08	 5.71
09Nov21 14:07:09	 0.00hr	24.93	96.47	com24	39.99	 0.00
09Nov21 14:07:09	 0.00hr	24.93	96.47	com25	40.00	 0.00
09Nov21 14:07:09	 0.00hr	24.93	96.47	com26	40.01	 0.00
09Nov21 14:07:09	 0.00hr	24.93	96.47	com27	40.00	 0.00
09Nov21 14:07:09	 0.00hr	24.93	96.47	com28	40.01	 0.00
09Nov21 14:07:12	 0.00hr	24.92	96.47	com23	30.08	 5.71
09Nov21 14:07:12	 0.00hr	24.92	96.47	com24	39.99	 0.00
09Nov21 14:07:12	 0.00hr	24.92	96.47	com25	40.00	 0.00
09Nov21 14:07:12	 0.00hr	24.92	96.47	com26	40.00	 0.00
09Nov21 14:07:12	 0.00hr	24.92	96.47	com27	40.00	 0.00
09Nov21 14:07:12	 0.00hr	24.92	96.47	com28	40.01	 0.00
09Nov21 14:07:15	 0.00hr	24.92	96.47	com23	30.08	 5.71
09Nov21 14:07:15	 0.00hr	24.92	96.47	com24	39.99	 0.00
09Nov21 14:07:15	 0.00hr	24.92	96.47	com25	40.00	 0.00
09Nov21 14:07:15	 0.00hr	24.92	96.47	com26	40.00	 0.00
09Nov21 14:07:15	 0.00hr	24.92	96.47	com27	40.00	 0.00
09Nov21 14:07:15	 0.00hr	24.92	96.47	com28	40.01	 0.00
09Nov21 14:07:18	 0.01hr	24.91	96.47	com23	30.09	 5.71
09Nov21 14:07:18	 0.01hr	24.91	96.47	com24	39.99	 0.00
09Nov21 14:07:18	 0.01hr	24.91	96.47	com25	40.00	 0.00
09Nov21 14:07:18	 0.01hr	24.91	96.47	com26	40.01	 0.00
09Nov21 14:07:18	 0.01hr	24.91	96.47	com27	40.00	 0.00
09Nov21 14:07:18	 0.01hr	24.91	96.47	com28	40.01	 0.00
09Nov21 14:07:20	 0.01hr	24.90	96.47	com23	30.09	 5.71
09Nov21 14:07:20	 0.01hr	24.90	96.47	com24	39.99	 0.00
09Nov21 14:07:20	 0.01hr	24.90	96.47	com25	40.00	 0.00
09Nov21 14:07:20	 0.01hr	24.90	96.47	com26	40.01	 0.00
09Nov21 14:07:20	 0.01hr	24.90	96.47	com27	40.00	 0.00
09Nov21 14:07:20	 0.01hr	24.90	96.47	com28	40.01	 0.00
09Nov21 14:07:23	 0.01hr	24.89	96.47	com23	30.09	 5.71
09Nov21 14:07:23	 0.01hr	24.89	96.47	com24	39.99	 0.00
09Nov21 14:07:23	 0.01hr	24.89	96.47	com25	40.00	 0.00
09Nov21 14:07:23	 0.01hr	24.89	96.47	com26	40.00	 0.00
09Nov21 14:07:23	 0.01hr	24.89	96.47	com27	40.00	 0.00
09Nov21 14:07:23	 0.01hr	24.89	96.47	com28	40.01	 0.00
09Nov21 14:07:26	 0.01hr	24.89	96.47	com23	30.09	 5.71
09Nov21 14:07:26	 0.01hr	24.89	96.47	com24	39.99	 0.00
09Nov21 14:07:26	 0.01hr	24.89	96.47	com25	40.00	 0.00
09Nov21 14:07:26	 0.01hr	24.89	96.47	com26	40.00	 0.00
09Nov21 14:07:26	 0.01hr	24.89	96.47	com27	40.00	 0.00
09Nov21 14:07:26	 0.01hr	24.89	96.47	com28	40.01	 0.00
09Nov21 14:07:29	 0.01hr	24.88	96.47	com23	30.09	 5.71
09Nov21 14:07:29	 0.01hr	24.88	96.47	com24	39.99	 0.00
09Nov21 14:07:29	 0.01hr	24.88	96.47	com25	40.00	 0.00
09Nov21 14:07:29	 0.01hr	24.88	96.47	com26	40.00	 0.00
09Nov21 14:07:29	 0.01hr	24.88	96.47	com27	40.00	 0.00
09Nov21 14:07:29	 0.01hr	24.88	96.47	com28	40.01	 0.00
09Nov21 14:07:31	 0.01hr	24.87	96.47	com23	30.09	 5.71
09Nov21 14:07:31	 0.01hr	24.87	96.47	com24	39.99	 0.00
09Nov21 14:07:31	 0.01hr	24.87	96.47	com25	40.00	 0.00
09Nov21 14:07:31	 0.01hr	24.87	96.47	com26	40.00	 0.00
09Nov21 14:07:31	 0.01hr	24.87	96.47	com27	40.00	 0.00
09Nov21 14:07:31	 0.01hr	24.87	96.47	com28	40.01	 0.00
09Nov21 14:07:34	 0.01hr	24.87	96.47	com23	30.09	 5.71
09Nov21 14:07:34	 0.01hr	24.87	96.47	com24	39.99	 0.00
09Nov21 14:07:34	 0.01hr	24.87	96.47	com25	40.00	 0.00
09Nov21 14:07:34	 0.01hr	24.87	96.47	com26	40.00	 0.00
09Nov21 14:07:34	 0.01hr	24.87	96.47	com27	40.00	 0.00
09Nov21 14:07:34	 0.01hr	24.87	96.47	com28	40.01	 0.00
09Nov21 14:07:37	 0.01hr	24.86	96.47	com23	30.09	 5.71
09Nov21 14:07:37	 0.01hr	24.86	96.47	com24	39.99	 0.00
09Nov21 14:07:37	 0.01hr	24.86	96.47	com25	40.00	 0.00
09Nov21 14:07:37	 0.01hr	24.86	96.47	com26	40.00	 0.00
09Nov21 14:07:37	 0.01hr	24.86	96.47	com27	40.00	 0.00
09Nov21 14:07:37	 0.01hr	24.86	96.47	com28	40.01	 0.00
09Nov21 14:07:40	 0.01hr	24.85	96.47	com23	30.10	 5.71
