Time	Sim Time	Solar Alt	Panel Eff	Port	Voltage	Current
09Nov21 13:41:48	 0.00hr	24.96	96.46	com23	40.00	 0.00
09Nov21 13:41:48	 0.00hr	24.96	96.46	com24	39.99	 0.00
09Nov21 13:41:48	 0.00hr	24.96	96.46	com25	40.00	 0.00
09Nov21 13:41:48	 0.00hr	24.96	96.46	com26	40.01	 0.00
09Nov21 13:41:48	 0.00hr	24.96	96.46	com27	40.00	 0.00
09Nov21 13:41:48	 0.00hr	24.96	96.46	com28	 1.97	 0.00
09Nov21 13:41:51	 0.00hr	24.95	96.46	com23	40.00	 0.00
09Nov21 13:41:51	 0.00hr	24.95	96.46	com24	39.99	 0.00
09Nov21 13:41:51	 0.00hr	24.95	96.46	com25	40.00	 0.00
09Nov21 13:41:51	 0.00hr	24.95	96.46	com26	40.01	 0.00
09Nov21 13:41:51	 0.00hr	24.95	96.46	com27	40.00	 0.00
09Nov21 13:41:51	 0.00hr	24.95	96.46	com28	 1.97	 0.00
09Nov21 13:41:54	 0.00hr	24.94	96.47	com23	40.00	 0.00
09Nov21 13:41:54	 0.00hr	24.94	96.47	com24	39.99	 0.00
09Nov21 13:41:54	 0.00hr	24.94	96.47	com25	40.00	 0.00
09Nov21 13:41:54	 0.00hr	24.94	96.47	com26	40.01	 0.00
09Nov21 13:41:54	 0.00hr	24.94	96.47	com27	40.00	 0.00
09Nov21 13:41:54	 0.00hr	24.94	96.47	com28	 1.97	 0.00
09Nov21 13:41:57	 0.00hr	24.94	96.47	com23	40.00	 0.00
09Nov21 13:41:57	 0.00hr	24.94	96.47	com24	39.99	 0.00
09Nov21 13:41:57	 0.00hr	24.94	96.47	com25	40.00	 0.00
09Nov21 13:41:57	 0.00hr	24.94	96.47	com26	40.01	 0.00
09Nov21 13:41:57	 0.00hr	24.94	96.47	com27	40.00	 0.00
09Nov21 13:41:57	 0.00hr	24.94	96.47	com28	 1.97	 0.00
09Nov21 13:42:00	 0.00hr	24.93	96.47	com23	40.00	 0.00
09Nov21 13:42:00	 0.00hr	24.93	96.47	com24	39.99	 0.00
09Nov21 13:42:00	 0.00hr	24.93	96.47	com25	40.00	 0.00
09Nov21 13:42:00	 0.00hr	24.93	96.47	com26	40.01	 0.00
09Nov21 13:42:00	 0.00hr	24.93	96.47	com27	40.00	 0.00
09Nov21 13:42:00	 0.00hr	24.93	96.47	com28	 1.97	 0.00
09Nov21 13:42:02	 0.00hr	24.92	96.47	com23	40.00	 0.00
09Nov21 13:42:02	 0.00hr	24.92	96.47	com24	39.99	 0.00
09Nov21 13:42:02	 0.00hr	24.92	96.47	com25	40.00	 0.00
09Nov21 13:42:02	 0.00hr	24.92	96.47	com26	40.01	 0.00
09Nov21 13:42:02	 0.00hr	24.92	96.47	com27	40.00	 0.00
09Nov21 13:42:02	 0.00hr	24.92	96.47	com28	 1.97	 0.00
09Nov21 13:42:05	 0.00hr	24.92	96.47	com23	40.00	 0.00
09Nov21 13:42:05	 0.00hr	24.92	96.47	com24	39.99	 0.00
09Nov21 13:42:05	 0.00hr	24.92	96.47	com25	40.00	 0.00
09Nov21 13:42:05	 0.00hr	24.92	96.47	com26	40.01	 0.00
09Nov21 13:42:05	 0.00hr	24.92	96.47	com27	40.00	 0.00
09Nov21 13:42:05	 0.00hr	24.92	96.47	com28	 1.97	 0.00
09Nov21 13:42:08	 0.01hr	24.91	96.47	com23	40.00	 0.00
09Nov21 13:42:08	 0.01hr	24.91	96.47	com24	39.99	 0.00
09Nov21 13:42:08	 0.01hr	24.91	96.47	com25	40.00	 0.00
09Nov21 13:42:08	 0.01hr	24.91	96.47	com26	40.01	 0.00
09Nov21 13:42:08	 0.01hr	24.91	96.47	com27	40.00	 0.00
09Nov21 13:42:08	 0.01hr	24.91	96.47	com28	 1.97	 0.00
09Nov21 13:42:11	 0.01hr	24.90	96.47	com23	40.00	 0.00
09Nov21 13:42:11	 0.01hr	24.90	96.47	com24	39.99	 0.00
09Nov21 13:42:11	 0.01hr	24.90	96.47	com25	40.00	 0.00
09Nov21 13:42:11	 0.01hr	24.90	96.47	com26	40.01	 0.00
09Nov21 13:42:11	 0.01hr	24.90	96.47	com27	40.00	 0.00
09Nov21 13:42:11	 0.01hr	24.90	96.47	com28	 1.97	 0.00
09Nov21 13:42:13	 0.01hr	24.89	96.47	com23	40.00	 0.00
09Nov21 13:42:13	 0.01hr	24.89	96.47	com24	39.99	 0.00
09Nov21 13:42:13	 0.01hr	24.89	96.47	com25	39.99	 0.00
09Nov21 13:42:13	 0.01hr	24.89	96.47	com26	40.01	 0.00
09Nov21 13:42:13	 0.01hr	24.89	96.47	com27	40.00	 0.00
09Nov21 13:42:13	 0.01hr	24.89	96.47	com28	 1.97	 0.00
09Nov21 13:42:16	 0.01hr	24.89	96.47	com23	40.00	 0.00
09Nov21 13:42:16	 0.01hr	24.89	96.47	com24	39.99	 0.00
09Nov21 13:42:16	 0.01hr	24.89	96.47	com25	40.00	 0.00
09Nov21 13:42:16	 0.01hr	24.89	96.47	com26	40.01	 0.00
09Nov21 13:42:16	 0.01hr	24.89	96.47	com27	40.00	 0.00
09Nov21 13:42:16	 0.01hr	24.89	96.47	com28	 1.97	 0.00
09Nov21 13:42:19	 0.01hr	24.88	96.47	com23	40.00	 0.00
09Nov21 13:42:19	 0.01hr	24.88	96.47	com24	39.99	 0.00
09Nov21 13:42:19	 0.01hr	24.88	96.47	com25	40.00	 0.00
09Nov21 13:42:19	 0.01hr	24.88	96.47	com26	40.01	 0.00
09Nov21 13:42:19	 0.01hr	24.88	96.47	com27	40.00	 0.00
09Nov21 13:42:19	 0.01hr	24.88	96.47	com28	 1.97	 0.00
09Nov21 13:42:22	 0.01hr	24.87	96.47	com23	40.00	 0.00
09Nov21 13:42:22	 0.01hr	24.87	96.47	com24	39.99	 0.00
09Nov21 13:42:22	 0.01hr	24.87	96.47	com25	40.00	 0.00
09Nov21 13:42:22	 0.01hr	24.87	96.47	com26	40.01	 0.00
09Nov21 13:42:22	 0.01hr	24.87	96.47	com27	40.00	 0.00
09Nov21 13:42:22	 0.01hr	24.87	96.47	com28	 1.97	 0.00
09Nov21 13:42:24	 0.01hr	24.87	96.47	com23	40.00	 0.00
09Nov21 13:42:24	 0.01hr	24.87	96.47	com24	39.99	 0.00
09Nov21 13:42:24	 0.01hr	24.87	96.47	com25	40.00	 0.00
09Nov21 13:42:24	 0.01hr	24.87	96.47	com26	40.01	 0.00
09Nov21 13:42:24	 0.01hr	24.87	96.47	com27	40.00	 0.00
09Nov21 13:42:24	 0.01hr	24.87	96.47	com28	 1.97	 0.00
09Nov21 13:42:27	 0.01hr	24.86	96.47	com23	40.00	 0.00
09Nov21 13:42:27	 0.01hr	24.86	96.47	com24	39.99	 0.00
09Nov21 13:42:27	 0.01hr	24.86	96.47	com25	40.00	 0.00
09Nov21 13:42:27	 0.01hr	24.86	96.47	com26	40.01	 0.00
09Nov21 13:42:27	 0.01hr	24.86	96.47	com27	40.00	 0.00
09Nov21 13:42:27	 0.01hr	24.86	96.47	com28	 1.97	 0.00
09Nov21 13:42:30	 0.01hr	24.85	96.47	com23	40.00	 0.00
09Nov21 13:42:30	 0.01hr	24.85	96.47	com24	39.99	 0.00
09Nov21 13:42:30	 0.01hr	24.85	96.47	com25	40.00	 0.00
09Nov21 13:42:30	 0.01hr	24.85	96.47	com26	40.01	 0.00
09Nov21 13:42:30	 0.01hr	24.85	96.47	com27	40.00	 0.00
09Nov21 13:42:30	 0.01hr	24.85	96.47	com28	 1.97	 0.00
09Nov21 13:42:33	 0.01hr	24.84	96.47	com23	40.00	 0.00
09Nov21 13:42:33	 0.01hr	24.84	96.47	com24	39.99	 0.00
09Nov21 13:42:33	 0.01hr	24.84	96.47	com25	40.00	 0.00
09Nov21 13:42:33	 0.01hr	24.84	96.47	com26	40.01	 0.00
09Nov21 13:42:33	 0.01hr	24.84	96.47	com27	40.00	 0.00
09Nov21 13:42:33	 0.01hr	24.84	96.47	com28	 1.97	 0.00
09Nov21 13:42:35	 0.01hr	24.84	96.47	com23	40.00	 0.00
09Nov21 13:42:35	 0.01hr	24.84	96.47	com24	39.99	 0.00
09Nov21 13:42:35	 0.01hr	24.84	96.47	com25	40.00	 0.00
09Nov21 13:42:35	 0.01hr	24.84	96.47	com26	40.01	 0.00
09Nov21 13:42:35	 0.01hr	24.84	96.47	com27	40.00	 0.00
09Nov21 13:42:35	 0.01hr	24.84	96.47	com28	 1.97	 0.00
09Nov21 13:42:38	 0.01hr	24.83	96.47	com23	40.00	 0.00
09Nov21 13:42:38	 0.01hr	24.83	96.47	com24	39.99	 0.00
09Nov21 13:42:38	 0.01hr	24.83	96.47	com25	40.00	 0.00
09Nov21 13:42:38	 0.01hr	24.83	96.47	com26	40.01	 0.00
09Nov21 13:42:38	 0.01hr	24.83	96.47	com27	40.00	 0.00
09Nov21 13:42:38	 0.01hr	24.83	96.47	com28	 1.97	 0.00
09Nov21 13:42:41	 0.01hr	24.82	96.48	com23	40.00	 0.00
09Nov21 13:42:41	 0.01hr	24.82	96.48	com24	39.99	 0.00
09Nov21 13:42:41	 0.01hr	24.82	96.48	com25	40.00	 0.00
09Nov21 13:42:41	 0.01hr	24.82	96.48	com26	40.01	 0.00
09Nov21 13:42:41	 0.01hr	24.82	96.48	com27	40.00	 0.00
09Nov21 13:42:41	 0.01hr	24.82	96.48	com28	 1.97	 0.00
09Nov21 13:42:44	 0.02hr	24.82	96.48	com23	40.00	 0.00
09Nov21 13:42:44	 0.02hr	24.82	96.48	com24	39.99	 0.00
09Nov21 13:42:44	 0.02hr	24.82	96.48	com25	40.00	 0.00
09Nov21 13:42:44	 0.02hr	24.82	96.48	com26	40.01	 0.00
09Nov21 13:42:44	 0.02hr	24.82	96.48	com27	40.01	 0.00
09Nov21 13:42:44	 0.02hr	24.82	96.48	com28	 1.97	 0.00
09Nov21 13:42:47	 0.02hr	24.81	96.48	com23	40.00	 0.00
09Nov21 13:42:47	 0.02hr	24.81	96.48	com24	39.99	 0.00
09Nov21 13:42:47	 0.02hr	24.81	96.48	com25	40.00	 0.00
09Nov21 13:42:47	 0.02hr	24.81	96.48	com26	40.01	 0.00
09Nov21 13:42:47	 0.02hr	24.81	96.48	com27	40.00	 0.00
09Nov21 13:42:47	 0.02hr	24.81	96.48	com28	 1.97	 0.00
09Nov21 13:42:49	 0.02hr	24.80	96.48	com23	40.00	 0.00
09Nov21 13:42:49	 0.02hr	24.80	96.48	com24	39.99	 0.00
09Nov21 13:42:49	 0.02hr	24.80	96.48	com25	40.00	 0.00
09Nov21 13:42:49	 0.02hr	24.80	96.48	com26	40.01	 0.00
09Nov21 13:42:49	 0.02hr	24.80	96.48	com27	40.00	 0.00
09Nov21 13:42:49	 0.02hr	24.80	96.48	com28	 1.97	 0.00
09Nov21 13:42:52	 0.02hr	24.79	96.48	com23	40.00	 0.00
09Nov21 13:42:52	 0.02hr	24.79	96.48	com24	39.99	 0.00
09Nov21 13:42:52	 0.02hr	24.79	96.48	com25	40.00	 0.00
09Nov21 13:42:52	 0.02hr	24.79	96.48	com26	40.01	 0.00
09Nov21 13:42:52	 0.02hr	24.79	96.48	com27	40.01	 0.00
09Nov21 13:42:52	 0.02hr	24.79	96.48	com28	 1.97	 0.00
09Nov21 13:42:55	 0.02hr	24.79	96.48	com23	40.00	 0.00
09Nov21 13:42:55	 0.02hr	24.79	96.48	com24	39.99	 0.00
09Nov21 13:42:55	 0.02hr	24.79	96.48	com25	40.00	 0.00
09Nov21 13:42:55	 0.02hr	24.79	96.48	com26	40.01	 0.00
09Nov21 13:42:55	 0.02hr	24.79	96.48	com27	40.00	 0.00
09Nov21 13:42:55	 0.02hr	24.79	96.48	com28	 1.97	 0.00
09Nov21 13:42:58	 0.02hr	24.78	96.48	com23	40.00	 0.00
09Nov21 13:42:58	 0.02hr	24.78	96.48	com24	39.99	 0.00
09Nov21 13:42:58	 0.02hr	24.78	96.48	com25	40.00	 0.00
09Nov21 13:42:58	 0.02hr	24.78	96.48	com26	40.01	 0.00
09Nov21 13:42:58	 0.02hr	24.78	96.48	com27	40.00	 0.00
09Nov21 13:42:58	 0.02hr	24.78	96.48	com28	 1.97	 0.00
09Nov21 13:43:00	 0.02hr	24.77	96.48	com23	40.00	 0.00
09Nov21 13:43:00	 0.02hr	24.77	96.48	com24	39.99	 0.00
09Nov21 13:43:00	 0.02hr	24.77	96.48	com25	40.00	 0.00
09Nov21 13:43:00	 0.02hr	24.77	96.48	com26	40.01	 0.00
09Nov21 13:43:00	 0.02hr	24.77	96.48	com27	40.00	 0.00
09Nov21 13:43:00	 0.02hr	24.77	96.48	com28	 1.97	 0.00
09Nov21 13:43:03	 0.02hr	24.76	96.48	com23	40.00	 0.00
09Nov21 13:43:03	 0.02hr	24.76	96.48	com24	39.99	 0.00
09Nov21 13:43:03	 0.02hr	24.76	96.48	com25	40.00	 0.00
09Nov21 13:43:03	 0.02hr	24.76	96.48	com26	40.01	 0.00
09Nov21 13:43:03	 0.02hr	24.76	96.48	com27	40.00	 0.00
09Nov21 13:43:03	 0.02hr	24.76	96.48	com28	 1.97	 0.00
09Nov21 13:43:06	 0.02hr	24.76	96.48	com23	40.00	 0.00
09Nov21 13:43:06	 0.02hr	24.76	96.48	com24	39.99	 0.00
09Nov21 13:43:06	 0.02hr	24.76	96.48	com25	40.00	 0.00
09Nov21 13:43:06	 0.02hr	24.76	96.48	com26	40.01	 0.00
09Nov21 13:43:06	 0.02hr	24.76	96.48	com27	40.00	 0.00
09Nov21 13:43:06	 0.02hr	24.76	96.48	com28	 1.97	 0.00
09Nov21 13:43:09	 0.02hr	24.75	96.48	com23	40.00	 0.00
09Nov21 13:43:09	 0.02hr	24.75	96.48	com24	39.99	 0.00
09Nov21 13:43:09	 0.02hr	24.75	96.48	com25	40.00	 0.00
09Nov21 13:43:09	 0.02hr	24.75	96.48	com26	40.01	 0.00
09Nov21 13:43:09	 0.02hr	24.75	96.48	com27	40.00	 0.00
09Nov21 13:43:09	 0.02hr	24.75	96.48	com28	 1.97	 0.00
09Nov21 13:43:11	 0.02hr	24.74	96.48	com23	40.00	 0.00
09Nov21 13:43:11	 0.02hr	24.74	96.48	com24	39.99	 0.00
09Nov21 13:43:11	 0.02hr	24.74	96.48	com25	40.00	 0.00
09Nov21 13:43:11	 0.02hr	24.74	96.48	com26	40.01	 0.00
09Nov21 13:43:11	 0.02hr	24.74	96.48	com27	40.00	 0.00
09Nov21 13:43:11	 0.02hr	24.74	96.48	com28	 1.97	 0.00
09Nov21 13:43:14	 0.02hr	24.74	96.48	com23	40.00	 0.00
09Nov21 13:43:14	 0.02hr	24.74	96.48	com24	39.99	 0.00
09Nov21 13:43:14	 0.02hr	24.74	96.48	com25	40.00	 0.00
