Time	Sim Time	ID	Voltage	Bat Temp[C]	HeatSink Temp[C]	Status	SOC	Current
09Nov21 14:06:58	 0.00hr	0009	28.725	022	023	0000	098	-1.548
09Nov21 14:06:58	 0.00hr	0008	28.671	023	024	0000	090	+0.527
09Nov21 14:07:01	 0.00hr	0009	28.761	022	023	0000	098	+0.060
09Nov21 14:07:01	 0.00hr	0008	28.725	023	024	0000	090	+3.630
09Nov21 14:07:04	 0.00hr	0009	28.761	022	023	0000	098	+0.417
09Nov21 14:07:04	 0.00hr	0008	28.743	023	024	0000	090	+4.274
09Nov21 14:07:07	 0.00hr	0009	28.779	022	023	0000	098	+0.417
09Nov21 14:07:07	 0.00hr	0008	28.743	023	024	0000	090	+4.333
09Nov21 14:07:09	 0.00hr	0009	28.779	022	023	0000	098	+0.357
09Nov21 14:07:09	 0.00hr	0008	28.743	023	024	0000	090	+4.215
09Nov21 14:07:12	 0.00hr	0009	28.761	022	023	0000	098	+0.357
09Nov21 14:07:12	 0.00hr	0008	28.725	023	024	0000	090	+4.215
09Nov21 14:07:15	 0.00hr	0009	28.761	022	023	0000	098	+0.357
09Nov21 14:07:15	 0.00hr	0008	28.743	023	024	0001	090	+4.333
09Nov21 14:07:18	 0.01hr	0009	28.761	022	023	0000	098	+0.298
09Nov21 14:07:18	 0.01hr	0008	28.725	023	024	0001	090	+4.274
09Nov21 14:07:20	 0.01hr	0009	28.779	022	023	0000	098	+0.298
09Nov21 14:07:20	 0.01hr	0008	28.743	023	024	0001	090	+4.274
09Nov21 14:07:23	 0.01hr	0009	28.779	022	023	0000	098	+0.357
09Nov21 14:07:23	 0.01hr	0008	28.743	023	024	0001	090	+4.274
09Nov21 14:07:26	 0.01hr	0009	28.761	022	023	0000	098	+0.357
09Nov21 14:07:26	 0.01hr	0008	28.725	023	024	0001	090	+4.274
09Nov21 14:07:29	 0.01hr	0009	28.779	022	023	0000	098	+0.357
09Nov21 14:07:29	 0.01hr	0008	28.743	023	024	0001	090	+4.274
09Nov21 14:07:31	 0.01hr	0009	28.779	022	023	0000	098	+0.298
09Nov21 14:07:31	 0.01hr	0008	28.725	023	024	0001	090	+4.215
09Nov21 14:07:34	 0.01hr	0009	28.779	022	023	0000	098	+0.357
09Nov21 14:07:34	 0.01hr	0008	28.743	023	024	0001	090	+4.215
09Nov21 14:07:37	 0.01hr	0009	28.779	022	023	0000	098	+0.357
09Nov21 14:07:37	 0.01hr	0008	28.743	023	024	0001	090	+4.215
09Nov21 14:07:40	 0.01hr	0009	28.779	022	023	0000	098	+0.298
