Time	Sim Time	ID	Voltage	Bat Temp[C]	HeatSink Temp[C]	Status	SOC	Current
09Nov21 12:49:02	 0.00hr	0009	28.779	021	022	0000	098	-0.238
09Nov21 12:49:02	 0.00hr	0008	28.653	023	024	0000	091	-0.468
09Nov21 12:49:04	 0.00hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:04	 0.00hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:49:07	 0.00hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:07	 0.00hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:49:10	 0.00hr	0009	28.779	021	022	0000	098	-0.238
09Nov21 12:49:10	 0.00hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:49:13	 0.00hr	0009	28.761	021	022	0000	098	-0.238
09Nov21 12:49:13	 0.00hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:49:15	 0.00hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:15	 0.00hr	0008	28.653	023	024	0000	091	-0.468
09Nov21 12:49:18	 0.00hr	0009	28.779	021	022	0000	098	-0.357
09Nov21 12:49:18	 0.00hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:49:21	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:21	 0.01hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:49:24	 0.01hr	0009	28.779	021	022	0000	098	-0.357
09Nov21 12:49:24	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:49:27	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:27	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:49:29	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:29	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:49:32	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:32	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:49:35	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:35	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:49:38	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:38	 0.01hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:49:40	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:40	 0.01hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:49:43	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:43	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:49:46	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:46	 0.01hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:49:49	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:49	 0.01hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:49:52	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:52	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:49:54	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:54	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:49:57	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:49:57	 0.02hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:50:00	 0.02hr	0009	28.779	021	022	0000	098	-0.357
09Nov21 12:50:00	 0.02hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:50:03	 0.02hr	0009	28.779	021	022	0000	098	-0.357
09Nov21 12:50:03	 0.02hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:50:05	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:50:05	 0.02hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:50:08	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:50:08	 0.02hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:50:11	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:50:11	 0.02hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:50:14	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:50:14	 0.02hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:50:16	 0.02hr	0009	28.779	021	022	0000	098	-0.357
09Nov21 12:50:16	 0.02hr	0008	28.653	023	024	0000	091	-0.410
09Nov21 12:50:19	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:50:19	 0.02hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:50:22	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:50:22	 0.02hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:50:25	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:50:25	 0.02hr	0008	28.653	023	024	0000	091	-0.410
09Nov21 12:50:27	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:50:27	 0.02hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:50:30	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:50:30	 0.02hr	0008	28.653	023	024	0000	091	-0.351
09Nov21 12:50:33	 0.03hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:50:33	 0.03hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:50:36	 0.03hr	0009	28.779	021	022	0000	098	-0.298
