Time	Sim Time	Solar Alt	Panel Eff	Port	Voltage	Current
13Sep21 19:58:34	 0.00hr	 0.00	 0.00	com9	 0.00	 0.00
13Sep21 19:58:34	 0.00hr	 0.00	 0.00	com10	17.79	 0.00
13Sep21 19:58:34	 0.00hr	 0.00	 0.00	com11	19.96	 0.00
13Sep21 19:58:34	 0.00hr	 0.00	 0.00	com12	28.04	 0.01
13Sep21 19:58:34	 0.00hr	 0.00	 0.00	com13	 0.03	 0.00
13Sep21 19:58:34	 0.00hr	 0.00	 0.00	com8	 0.02	 0.00
13Sep21 19:58:34	 0.00hr	 0.00	 0.00	com7	27.24	 6.99
13Sep21 19:59:37	 0.02hr	 0.00	 0.00	com9	28.59	 0.00
13Sep21 19:59:37	 0.02hr	 0.00	 0.00	com10	28.36	 0.00
13Sep21 19:59:37	 0.02hr	 0.00	 0.00	com11	28.86	 0.00
13Sep21 19:59:37	 0.02hr	 0.00	 0.00	com12	28.03	 0.00
13Sep21 19:59:37	 0.02hr	 0.00	 0.00	com13	27.82	 0.00
13Sep21 19:59:37	 0.02hr	 0.00	 0.00	com8	 0.02	 0.00
13Sep21 19:59:37	 0.02hr	 0.00	 0.00	com7	27.22	 6.99
