Time	Sim Time	Solar Alt	Panel Eff	Port	Voltage	Current
09Nov21 12:59:58	 0.00hr	24.96	96.46	com23	40.00	 0.00
09Nov21 12:59:58	 0.00hr	24.96	96.46	com24	39.99	 0.00
09Nov21 12:59:58	 0.00hr	24.96	96.46	com25	40.00	 0.00
09Nov21 12:59:58	 0.00hr	24.96	96.46	com26	40.01	 0.00
09Nov21 12:59:58	 0.00hr	24.96	96.46	com27	40.00	 0.00
09Nov21 12:59:58	 0.00hr	24.96	96.46	com28	 1.97	 0.00
09Nov21 13:00:01	 0.00hr	24.95	96.46	com23	40.00	 0.00
09Nov21 13:00:01	 0.00hr	24.95	96.46	com24	39.99	 0.00
09Nov21 13:00:01	 0.00hr	24.95	96.46	com25	40.00	 0.00
09Nov21 13:00:01	 0.00hr	24.95	96.46	com26	40.01	 0.00
09Nov21 13:00:01	 0.00hr	24.95	96.46	com27	40.00	 0.00
09Nov21 13:00:01	 0.00hr	24.95	96.46	com28	 1.97	 0.00
09Nov21 13:00:04	 0.00hr	24.94	96.47	com23	40.00	 0.00
09Nov21 13:00:04	 0.00hr	24.94	96.47	com24	39.99	 0.00
09Nov21 13:00:04	 0.00hr	24.94	96.47	com25	40.00	 0.00
09Nov21 13:00:04	 0.00hr	24.94	96.47	com26	40.01	 0.00
09Nov21 13:00:04	 0.00hr	24.94	96.47	com27	40.00	 0.00
09Nov21 13:00:04	 0.00hr	24.94	96.47	com28	 1.97	 0.00
09Nov21 13:00:07	 0.00hr	24.94	96.47	com23	40.00	 0.00
09Nov21 13:00:07	 0.00hr	24.94	96.47	com24	39.99	 0.00
09Nov21 13:00:07	 0.00hr	24.94	96.47	com25	40.00	 0.00
09Nov21 13:00:07	 0.00hr	24.94	96.47	com26	40.01	 0.00
09Nov21 13:00:07	 0.00hr	24.94	96.47	com27	40.00	 0.00
09Nov21 13:00:07	 0.00hr	24.94	96.47	com28	 1.97	 0.00
09Nov21 13:00:09	 0.00hr	24.93	96.47	com23	40.00	 0.00
09Nov21 13:00:09	 0.00hr	24.93	96.47	com24	39.99	 0.00
09Nov21 13:00:09	 0.00hr	24.93	96.47	com25	40.00	 0.00
09Nov21 13:00:09	 0.00hr	24.93	96.47	com26	40.01	 0.00
09Nov21 13:00:09	 0.00hr	24.93	96.47	com27	40.00	 0.00
09Nov21 13:00:09	 0.00hr	24.93	96.47	com28	 1.97	 0.00
09Nov21 13:00:12	 0.00hr	24.92	96.47	com23	40.00	 0.00
09Nov21 13:00:12	 0.00hr	24.92	96.47	com24	39.99	 0.00
09Nov21 13:00:12	 0.00hr	24.92	96.47	com25	40.00	 0.00
09Nov21 13:00:12	 0.00hr	24.92	96.47	com26	40.01	 0.00
09Nov21 13:00:12	 0.00hr	24.92	96.47	com27	40.00	 0.00
09Nov21 13:00:12	 0.00hr	24.92	96.47	com28	 1.97	 0.00
09Nov21 13:00:15	 0.00hr	24.92	96.47	com23	40.00	 0.00
09Nov21 13:00:15	 0.00hr	24.92	96.47	com24	39.99	 0.00
09Nov21 13:00:15	 0.00hr	24.92	96.47	com25	40.00	 0.00
09Nov21 13:00:15	 0.00hr	24.92	96.47	com26	40.01	 0.00
09Nov21 13:00:15	 0.00hr	24.92	96.47	com27	40.00	 0.00
09Nov21 13:00:15	 0.00hr	24.92	96.47	com28	 1.97	 0.00
09Nov21 13:00:18	 0.01hr	24.91	96.47	com23	40.00	 0.00
09Nov21 13:00:18	 0.01hr	24.91	96.47	com24	39.99	 0.00
09Nov21 13:00:18	 0.01hr	24.91	96.47	com25	40.00	 0.00
09Nov21 13:00:18	 0.01hr	24.91	96.47	com26	40.01	 0.00
09Nov21 13:00:18	 0.01hr	24.91	96.47	com27	40.00	 0.00
09Nov21 13:00:18	 0.01hr	24.91	96.47	com28	 1.97	 0.00
09Nov21 13:00:20	 0.01hr	24.90	96.47	com23	40.00	 0.00
09Nov21 13:00:20	 0.01hr	24.90	96.47	com24	39.99	 0.00
09Nov21 13:00:20	 0.01hr	24.90	96.47	com25	40.00	 0.00
09Nov21 13:00:20	 0.01hr	24.90	96.47	com26	40.01	 0.00
09Nov21 13:00:20	 0.01hr	24.90	96.47	com27	40.00	 0.00
09Nov21 13:00:20	 0.01hr	24.90	96.47	com28	 1.97	 0.00
09Nov21 13:00:23	 0.01hr	24.89	96.47	com23	40.00	 0.00
09Nov21 13:00:23	 0.01hr	24.89	96.47	com24	39.99	 0.00
09Nov21 13:00:23	 0.01hr	24.89	96.47	com25	40.00	 0.00
09Nov21 13:00:23	 0.01hr	24.89	96.47	com26	40.01	 0.00
09Nov21 13:00:23	 0.01hr	24.89	96.47	com27	40.00	 0.00
09Nov21 13:00:23	 0.01hr	24.89	96.47	com28	 1.97	 0.00
09Nov21 13:00:26	 0.01hr	24.89	96.47	com23	40.00	 0.00
09Nov21 13:00:26	 0.01hr	24.89	96.47	com24	39.99	 0.00
09Nov21 13:00:26	 0.01hr	24.89	96.47	com25	40.00	 0.00
09Nov21 13:00:26	 0.01hr	24.89	96.47	com26	40.01	 0.00
09Nov21 13:00:26	 0.01hr	24.89	96.47	com27	40.00	 0.00
09Nov21 13:00:26	 0.01hr	24.89	96.47	com28	 1.97	 0.00
09Nov21 13:00:29	 0.01hr	24.88	96.47	com23	40.00	 0.00
09Nov21 13:00:29	 0.01hr	24.88	96.47	com24	39.99	 0.00
09Nov21 13:00:29	 0.01hr	24.88	96.47	com25	40.00	 0.00
09Nov21 13:00:29	 0.01hr	24.88	96.47	com26	40.01	 0.00
09Nov21 13:00:29	 0.01hr	24.88	96.47	com27	40.00	 0.00
09Nov21 13:00:29	 0.01hr	24.88	96.47	com28	 1.97	 0.00
09Nov21 13:00:32	 0.01hr	24.87	96.47	com23	40.00	 0.00
09Nov21 13:00:32	 0.01hr	24.87	96.47	com24	39.99	 0.00
09Nov21 13:00:32	 0.01hr	24.87	96.47	com25	40.00	 0.00
09Nov21 13:00:32	 0.01hr	24.87	96.47	com26	40.01	 0.00
09Nov21 13:00:32	 0.01hr	24.87	96.47	com27	40.00	 0.00
09Nov21 13:00:32	 0.01hr	24.87	96.47	com28	 1.97	 0.00
09Nov21 13:00:34	 0.01hr	24.87	96.47	com23	40.00	 0.00
09Nov21 13:00:34	 0.01hr	24.87	96.47	com24	39.99	 0.00
09Nov21 13:00:34	 0.01hr	24.87	96.47	com25	40.00	 0.00
09Nov21 13:00:34	 0.01hr	24.87	96.47	com26	40.01	 0.00
09Nov21 13:00:34	 0.01hr	24.87	96.47	com27	40.00	 0.00
09Nov21 13:00:34	 0.01hr	24.87	96.47	com28	 1.97	 0.00
09Nov21 13:00:37	 0.01hr	24.86	96.47	com23	40.00	 0.00
