Time	Sim Time	ID	Voltage	Bat Temp[C]	HeatSink Temp[C]	Status	SOC	Current
09Nov21 12:59:58	 0.00hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 12:59:58	 0.00hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:00:01	 0.00hr	0009	28.779	022	022	0000	098	-0.357
09Nov21 13:00:01	 0.00hr	0008	28.671	023	024	0000	090	-0.527
09Nov21 13:00:04	 0.00hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:04	 0.00hr	0008	28.671	023	024	0000	090	-0.468
09Nov21 13:00:07	 0.00hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:07	 0.00hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:00:09	 0.00hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:09	 0.00hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 13:00:12	 0.00hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:12	 0.00hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 13:00:15	 0.00hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:15	 0.00hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 13:00:18	 0.01hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:18	 0.01hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 13:00:20	 0.01hr	0009	28.779	022	022	0000	098	-0.357
09Nov21 13:00:20	 0.01hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:00:23	 0.01hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:23	 0.01hr	0008	28.671	023	024	0000	090	-0.468
09Nov21 13:00:26	 0.01hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:26	 0.01hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 13:00:29	 0.01hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:29	 0.01hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 13:00:32	 0.01hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:32	 0.01hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:00:34	 0.01hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:34	 0.01hr	0008	28.671	023	024	0000	090	-0.468
09Nov21 13:00:37	 0.01hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:37	 0.01hr	0008	28.671	023	024	0000	090	-0.468
09Nov21 13:00:40	 0.01hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:40	 0.01hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:00:43	 0.01hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:43	 0.01hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:00:45	 0.01hr	0009	28.779	022	022	0000	098	-0.298
09Nov21 13:00:45	 0.01hr	0008	28.671	023	024	0000	090	-0.410
