Time	Sim Time	Solar Alt	Panel Eff	Port	Voltage	Current
13Sep21 19:58:34	 0.00hr	 0.00	 0.00	com9	 0.00	 0.00
13Sep21 19:58:34	 0.00hr	 0.00	 0.00	com10	17.79	 0.00
13Sep21 19:58:34	 0.00hr	 0.00	 0.00	com11	19.96	 0.00
13Sep21 19:58:34	 0.00hr	 0.00	 0.00	com12	28.04	 0.01
13Sep21 19:58:34	 0.00hr	 0.00	 0.00	com13	 0.03	 0.00
13Sep21 19:58:34	 0.00hr	 0.00	 0.00	com8	 0.02	 0.00
13Sep21 19:58:34	 0.00hr	 0.00	 0.00	com7	27.24	 6.99
13Sep21 19:59:37	 0.02hr	 0.00	 0.00	com9	28.59	 0.00
13Sep21 19:59:37	 0.02hr	 0.00	 0.00	com10	28.36	 0.00
13Sep21 19:59:37	 0.02hr	 0.00	 0.00	com11	28.86	 0.00
13Sep21 19:59:37	 0.02hr	 0.00	 0.00	com12	28.03	 0.00
13Sep21 19:59:37	 0.02hr	 0.00	 0.00	com13	27.82	 0.00
13Sep21 19:59:37	 0.02hr	 0.00	 0.00	com8	 0.02	 0.00
13Sep21 19:59:37	 0.02hr	 0.00	 0.00	com7	27.22	 6.99
13Sep21 20:00:40	 0.04hr	 0.00	 0.00	com9	28.58	 0.00
13Sep21 20:00:40	 0.04hr	 0.00	 0.00	com10	28.14	 0.00
13Sep21 20:00:40	 0.04hr	 0.00	 0.00	com11	28.86	 0.00
13Sep21 20:00:40	 0.04hr	 0.00	 0.00	com12	28.02	 0.00
13Sep21 20:00:40	 0.04hr	 0.00	 0.00	com13	27.91	 0.01
13Sep21 20:00:40	 0.04hr	 0.00	 0.00	com8	 0.02	 0.00
13Sep21 20:00:40	 0.04hr	 0.00	 0.00	com7	27.22	 6.99
13Sep21 20:01:43	 0.05hr	 0.00	 0.00	com9	28.58	 0.00
13Sep21 20:01:43	 0.05hr	 0.00	 0.00	com10	28.15	 0.00
13Sep21 20:01:43	 0.05hr	 0.00	 0.00	com11	28.86	 0.00
13Sep21 20:01:43	 0.05hr	 0.00	 0.00	com12	28.02	 0.00
13Sep21 20:01:43	 0.05hr	 0.00	 0.00	com13	27.90	 0.01
13Sep21 20:01:43	 0.05hr	 0.00	 0.00	com8	 0.02	 0.00
13Sep21 20:01:43	 0.05hr	 0.00	 0.00	com7	27.21	 6.99
13Sep21 20:02:47	 0.07hr	 0.00	 0.00	com9	28.58	 0.00
13Sep21 20:02:47	 0.07hr	 0.00	 0.00	com10	28.17	 0.00
13Sep21 20:02:47	 0.07hr	 0.00	 0.00	com11	28.86	 0.00
13Sep21 20:02:47	 0.07hr	 0.00	 0.00	com12	28.02	 0.00
13Sep21 20:02:47	 0.07hr	 0.00	 0.00	com13	27.92	 0.01
13Sep21 20:02:47	 0.07hr	 0.00	 0.00	com8	 0.02	 0.00
13Sep21 20:02:47	 0.07hr	 0.00	 0.00	com7	27.21	 6.99
13Sep21 20:03:50	 0.09hr	 0.00	 0.00	com9	28.57	 0.00
13Sep21 20:03:50	 0.09hr	 0.00	 0.00	com10	28.56	 0.00
13Sep21 20:03:50	 0.09hr	 0.00	 0.00	com11	28.85	 0.00
13Sep21 20:03:50	 0.09hr	 0.00	 0.00	com12	28.55	 0.00
13Sep21 20:03:50	 0.09hr	 0.00	 0.00	com13	27.98	 0.00
13Sep21 20:03:50	 0.09hr	 0.00	 0.00	com8	 0.02	 0.00
