Time	Sim Time	ID	Voltage	Bat Temp[C]	HeatSink Temp[C]	Status	SOC	Current
09Nov21 12:44:00	 0.00hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:00	 0.00hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:44:03	 0.00hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:03	 0.00hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:44:06	 0.00hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:06	 0.00hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:44:09	 0.00hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:09	 0.00hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:44:11	 0.00hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:11	 0.00hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:44:14	 0.00hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:14	 0.00hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:44:17	 0.00hr	0009	28.779	021	022	0000	098	-0.357
09Nov21 12:44:17	 0.00hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:44:20	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:20	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:44:22	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:22	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:44:25	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:25	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:44:28	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:28	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:44:31	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:31	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:44:33	 0.01hr	0009	28.779	021	022	0000	098	-0.357
09Nov21 12:44:33	 0.01hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:44:36	 0.01hr	0009	28.779	021	022	0000	098	-0.357
09Nov21 12:44:36	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:44:39	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:39	 0.01hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:44:42	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:42	 0.01hr	0008	28.653	023	024	0000	091	-0.410
09Nov21 12:44:44	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:44	 0.01hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:44:47	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:47	 0.01hr	0008	28.653	023	024	0000	091	-0.468
09Nov21 12:44:50	 0.01hr	0009	28.779	021	022	0000	098	-0.357
09Nov21 12:44:50	 0.01hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:44:53	 0.01hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:53	 0.01hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:44:56	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:44:56	 0.02hr	0008	28.653	023	024	0000	091	-0.468
09Nov21 12:44:58	 0.02hr	0009	28.779	021	022	0000	098	-0.238
09Nov21 12:44:58	 0.02hr	0008	28.653	023	024	0000	091	-0.468
09Nov21 12:45:01	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:01	 0.02hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:45:04	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:04	 0.02hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:45:07	 0.02hr	0009	28.779	021	022	0000	098	-0.238
09Nov21 12:45:07	 0.02hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:45:09	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:09	 0.02hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:45:12	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:12	 0.02hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:45:15	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:15	 0.02hr	0008	28.653	023	024	0000	091	-0.410
09Nov21 12:45:18	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:18	 0.02hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:45:20	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:20	 0.02hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:45:23	 0.02hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:23	 0.02hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:45:26	 0.02hr	0009	28.779	021	022	0000	098	-0.357
09Nov21 12:45:26	 0.02hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:45:29	 0.02hr	0009	28.779	021	022	0000	098	-0.357
09Nov21 12:45:29	 0.02hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:45:32	 0.03hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:32	 0.03hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:45:34	 0.03hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:34	 0.03hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:45:37	 0.03hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:37	 0.03hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:45:40	 0.03hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:40	 0.03hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:45:43	 0.03hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:43	 0.03hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:45:45	 0.03hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:45	 0.03hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:45:48	 0.03hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:48	 0.03hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:45:51	 0.03hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:51	 0.03hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:45:54	 0.03hr	0009	28.779	021	022	0000	098	-0.357
09Nov21 12:45:54	 0.03hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:45:56	 0.03hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:56	 0.03hr	0008	28.653	023	024	0000	091	-0.410
09Nov21 12:45:59	 0.03hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:45:59	 0.03hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:46:02	 0.03hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:02	 0.03hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:46:05	 0.03hr	0009	28.761	021	022	0000	098	-0.298
09Nov21 12:46:05	 0.03hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:46:08	 0.04hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:08	 0.04hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:46:10	 0.04hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:10	 0.04hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:46:13	 0.04hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:13	 0.04hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:46:16	 0.04hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:16	 0.04hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:46:19	 0.04hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:19	 0.04hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:46:22	 0.04hr	0009	28.779	021	022	0000	098	-0.238
09Nov21 12:46:22	 0.04hr	0008	28.653	023	024	0000	091	-0.410
09Nov21 12:46:24	 0.04hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:24	 0.04hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:46:27	 0.04hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:27	 0.04hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:46:30	 0.04hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:30	 0.04hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:46:33	 0.04hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:33	 0.04hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:46:35	 0.04hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:35	 0.04hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:46:38	 0.04hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:38	 0.04hr	0008	28.671	023	024	0000	091	-0.410
09Nov21 12:46:41	 0.04hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:41	 0.04hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:46:44	 0.05hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:44	 0.05hr	0008	28.653	023	024	0000	091	-0.468
09Nov21 12:46:47	 0.05hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:47	 0.05hr	0008	28.671	023	024	0000	091	-0.468
09Nov21 12:46:49	 0.05hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:49	 0.05hr	0008	28.653	023	024	0000	091	-0.410
09Nov21 12:46:52	 0.05hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:52	 0.05hr	0008	28.653	023	024	0000	091	-0.410
09Nov21 12:46:55	 0.05hr	0009	28.779	021	022	0000	098	-0.298
09Nov21 12:46:55	 0.05hr	0008	28.671	023	024	0000	091	-0.468
