Time	Sim Time	ID	Voltage	Bat Temp[C]	HeatSink Temp[C]	Status	SOC	Current
09Nov21 15:06:22	 0.00hr	0009	28.815	030	025	0001	100	+0.595
09Nov21 15:06:22	 0.00hr	0008	28.924	030	027	0001	100	+2.869
09Nov21 15:06:25	 0.00hr	0009	28.833	030	025	0001	100	+1.607
09Nov21 15:06:25	 0.00hr	0008	28.888	030	027	0001	100	+2.166
09Nov21 15:06:28	 0.00hr	0009	28.851	030	025	0001	100	+1.726
09Nov21 15:06:28	 0.00hr	0008	28.888	030	027	0001	100	+2.752
09Nov21 15:06:31	 0.00hr	0009	28.833	030	025	0001	100	+1.786
09Nov21 15:06:31	 0.00hr	0008	28.888	030	027	0001	100	+2.869
09Nov21 15:06:33	 0.00hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:06:33	 0.00hr	0008	28.906	030	027	0001	100	+2.869
09Nov21 15:06:36	 0.00hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:06:36	 0.00hr	0008	28.906	030	027	0001	100	+2.810
09Nov21 15:06:39	 0.00hr	0009	28.833	030	025	0001	100	+1.786
09Nov21 15:06:39	 0.00hr	0008	28.906	030	027	0001	100	+2.869
09Nov21 15:06:42	 0.01hr	0009	28.833	030	025	0001	100	+1.786
09Nov21 15:06:42	 0.01hr	0008	28.906	030	027	0001	100	+2.869
09Nov21 15:06:44	 0.01hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:06:44	 0.01hr	0008	28.924	030	027	0001	100	+2.810
09Nov21 15:06:47	 0.01hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:06:47	 0.01hr	0008	28.906	030	027	0001	100	+2.869
09Nov21 15:06:50	 0.01hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:06:50	 0.01hr	0008	28.906	030	027	0001	100	+2.869
09Nov21 15:06:53	 0.01hr	0009	28.851	030	025	0001	100	+1.726
09Nov21 15:06:53	 0.01hr	0008	28.906	030	027	0001	100	+2.810
09Nov21 15:06:55	 0.01hr	0009	28.851	030	025	0001	100	+1.726
09Nov21 15:06:55	 0.01hr	0008	28.906	030	027	0001	100	+2.869
09Nov21 15:06:58	 0.01hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:06:58	 0.01hr	0008	28.906	030	027	0001	100	+2.869
09Nov21 15:07:01	 0.01hr	0009	28.833	030	025	0001	100	+1.786
09Nov21 15:07:01	 0.01hr	0008	28.906	030	027	0001	100	+2.869
09Nov21 15:07:04	 0.01hr	0009	28.851	030	025	0001	100	+1.726
09Nov21 15:07:04	 0.01hr	0008	28.906	030	027	0001	100	+2.869
09Nov21 15:07:06	 0.01hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:07:06	 0.01hr	0008	28.888	030	027	0001	100	+2.869
09Nov21 15:07:09	 0.01hr	0009	28.833	030	025	0001	100	+1.786
09Nov21 15:07:09	 0.01hr	0008	28.888	030	027	0001	100	+2.810
09Nov21 15:07:12	 0.01hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:07:12	 0.01hr	0008	28.906	030	027	0001	100	+2.810
09Nov21 15:07:15	 0.01hr	0009	28.851	030	025	0001	100	+1.726
09Nov21 15:07:15	 0.01hr	0008	28.906	030	027	0001	100	+2.810
09Nov21 15:07:18	 0.02hr	0009	28.833	030	025	0001	100	+1.786
09Nov21 15:07:18	 0.02hr	0008	28.906	030	027	0001	100	+2.927
09Nov21 15:07:20	 0.02hr	0009	28.851	030	025	0001	100	+1.726
09Nov21 15:07:20	 0.02hr	0008	28.906	030	027	0001	100	+2.810
09Nov21 15:07:23	 0.02hr	0009	28.851	030	025	0001	100	+1.726
09Nov21 15:07:23	 0.02hr	0008	28.924	030	027	0001	100	+2.869
09Nov21 15:07:26	 0.02hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:07:26	 0.02hr	0008	28.924	030	027	0001	100	+2.810
09Nov21 15:07:29	 0.02hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:07:29	 0.02hr	0008	28.906	030	027	0001	100	+2.869
09Nov21 15:07:31	 0.02hr	0009	28.851	030	025	0001	100	+1.726
09Nov21 15:07:31	 0.02hr	0008	28.906	030	027	0001	100	+2.869
09Nov21 15:07:34	 0.02hr	0009	28.833	030	025	0001	100	+1.845
09Nov21 15:07:34	 0.02hr	0008	28.906	030	027	0001	100	+2.810
09Nov21 15:07:37	 0.02hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:07:37	 0.02hr	0008	28.906	030	027	0001	100	+2.810
09Nov21 15:07:39	 0.02hr	0009	28.833	030	025	0001	100	+1.786
09Nov21 15:07:39	 0.02hr	0008	28.906	030	027	0001	100	+2.810
09Nov21 15:07:42	 0.02hr	0009	28.851	030	025	0001	100	+1.726
09Nov21 15:07:42	 0.02hr	0008	28.924	030	027	0001	100	+2.810
09Nov21 15:07:45	 0.02hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:07:45	 0.02hr	0008	28.906	030	027	0001	100	+2.810
09Nov21 15:07:48	 0.02hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:07:48	 0.02hr	0008	28.906	030	027	0001	100	+2.869
09Nov21 15:07:51	 0.02hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:07:51	 0.02hr	0008	28.906	030	027	0001	100	+2.810
09Nov21 15:07:53	 0.03hr	0009	28.851	030	025	0001	100	+1.786
09Nov21 15:07:53	 0.03hr	0008	28.924	030	027	0001	100	+2.869
09Nov21 15:07:56	 0.03hr	0009	28.833	030	025	0001	100	+1.726
