Time	Sim Time	ID	Voltage	Bat Temp[C]	HeatSink Temp[C]	Status	SOC	Current
09Nov21 13:41:48	 0.00hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:41:48	 0.00hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 13:41:51	 0.00hr	0009	28.779	022	023	0000	098	-0.357
09Nov21 13:41:51	 0.00hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:41:54	 0.00hr	0009	28.779	022	023	0000	098	-0.357
09Nov21 13:41:54	 0.00hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:41:57	 0.00hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:41:57	 0.00hr	0008	28.671	023	024	0000	090	-0.468
09Nov21 13:42:00	 0.00hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:42:00	 0.00hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:42:02	 0.00hr	0009	28.779	022	023	0000	098	-0.357
09Nov21 13:42:02	 0.00hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:42:05	 0.00hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:42:05	 0.00hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:42:08	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:42:08	 0.01hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:42:11	 0.01hr	0009	28.779	022	023	0000	098	-0.357
09Nov21 13:42:11	 0.01hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:42:13	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:42:13	 0.01hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 13:42:16	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:42:16	 0.01hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 13:42:19	 0.01hr	0009	28.761	022	023	0000	098	-0.298
09Nov21 13:42:19	 0.01hr	0008	28.671	023	024	0000	090	-0.468
09Nov21 13:42:22	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:42:22	 0.01hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 13:42:24	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:42:24	 0.01hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 13:42:27	 0.01hr	0009	28.779	022	023	0000	098	-0.357
09Nov21 13:42:27	 0.01hr	0008	28.653	023	024	0000	090	-0.468
09Nov21 13:42:30	 0.01hr	0009	28.779	022	023	0000	098	-0.357
09Nov21 13:42:30	 0.01hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 13:42:33	 0.01hr	0009	28.779	022	023	0000	098	-0.357
09Nov21 13:42:33	 0.01hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:42:35	 0.01hr	0009	28.779	022	023	0000	098	-0.357
09Nov21 13:42:35	 0.01hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:42:38	 0.01hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:42:38	 0.01hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:42:41	 0.01hr	0009	28.779	022	023	0000	098	-0.357
09Nov21 13:42:41	 0.01hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 13:42:44	 0.02hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:42:44	 0.02hr	0008	28.671	023	024	0000	090	-0.410
09Nov21 13:42:47	 0.02hr	0009	28.779	022	023	0000	098	-0.298
09Nov21 13:42:47	 0.02hr	0008	28.653	023	024	0000	090	-0.410
09Nov21 13:42:49	 0.02hr	0009	28.779	022	023	0000	098	-0.298
