Time	Sim Time	Solar Alt	Panel Eff	Port	Voltage	Current
09Nov21 14:39:03	 0.00hr	24.96	96.46	com23	30.18	 5.87
09Nov21 14:39:03	 0.00hr	24.96	96.46	com24	39.97	 0.00
09Nov21 14:39:03	 0.00hr	24.96	96.46	com25	39.99	 0.00
09Nov21 14:39:03	 0.00hr	24.96	96.46	com26	39.99	 0.00
09Nov21 14:39:03	 0.00hr	24.96	96.46	com27	39.99	 0.00
09Nov21 14:39:03	 0.00hr	24.96	96.46	com28	40.00	 0.00
09Nov21 14:39:06	 0.00hr	24.95	96.46	com23	30.15	 5.71
09Nov21 14:39:06	 0.00hr	24.95	96.46	com24	39.98	 0.00
09Nov21 14:39:06	 0.00hr	24.95	96.46	com25	40.00	 0.00
09Nov21 14:39:06	 0.00hr	24.95	96.46	com26	40.00	 0.00
09Nov21 14:39:06	 0.00hr	24.95	96.46	com27	40.00	 0.00
09Nov21 14:39:06	 0.00hr	24.95	96.46	com28	40.01	 0.00
09Nov21 14:39:09	 0.00hr	24.94	96.47	com23	30.14	 5.71
09Nov21 14:39:09	 0.00hr	24.94	96.47	com24	39.98	 0.00
09Nov21 14:39:09	 0.00hr	24.94	96.47	com25	40.00	 0.00
09Nov21 14:39:09	 0.00hr	24.94	96.47	com26	40.00	 0.00
09Nov21 14:39:09	 0.00hr	24.94	96.47	com27	40.00	 0.00
09Nov21 14:39:09	 0.00hr	24.94	96.47	com28	40.01	 0.00
09Nov21 14:39:12	 0.00hr	24.94	96.47	com23	30.15	 5.71
09Nov21 14:39:12	 0.00hr	24.94	96.47	com24	39.98	 0.00
09Nov21 14:39:12	 0.00hr	24.94	96.47	com25	40.00	 0.00
09Nov21 14:39:12	 0.00hr	24.94	96.47	com26	40.00	 0.00
09Nov21 14:39:12	 0.00hr	24.94	96.47	com27	39.99	 0.00
09Nov21 14:39:12	 0.00hr	24.94	96.47	com28	40.01	 0.00
09Nov21 14:39:14	 0.00hr	24.93	96.47	com23	30.14	 5.71
09Nov21 14:39:14	 0.00hr	24.93	96.47	com24	39.98	 0.00
09Nov21 14:39:14	 0.00hr	24.93	96.47	com25	40.00	 0.00
09Nov21 14:39:14	 0.00hr	24.93	96.47	com26	40.00	 0.00
09Nov21 14:39:14	 0.00hr	24.93	96.47	com27	39.99	 0.00
09Nov21 14:39:14	 0.00hr	24.93	96.47	com28	40.01	 0.00
09Nov21 14:39:17	 0.00hr	24.92	96.47	com23	30.14	 5.71
09Nov21 14:39:17	 0.00hr	24.92	96.47	com24	39.98	 0.00
09Nov21 14:39:17	 0.00hr	24.92	96.47	com25	40.00	 0.00
09Nov21 14:39:17	 0.00hr	24.92	96.47	com26	40.00	 0.00
09Nov21 14:39:17	 0.00hr	24.92	96.47	com27	40.00	 0.00
09Nov21 14:39:17	 0.00hr	24.92	96.47	com28	40.01	 0.00
09Nov21 14:39:20	 0.00hr	24.92	96.47	com23	30.15	 5.71
09Nov21 14:39:20	 0.00hr	24.92	96.47	com24	39.98	 0.00
09Nov21 14:39:20	 0.00hr	24.92	96.47	com25	40.00	 0.00
09Nov21 14:39:20	 0.00hr	24.92	96.47	com26	40.00	 0.00
09Nov21 14:39:20	 0.00hr	24.92	96.47	com27	40.00	 0.00
09Nov21 14:39:20	 0.00hr	24.92	96.47	com28	40.01	 0.00
09Nov21 14:39:23	 0.01hr	24.91	96.47	com23	30.15	 5.71
09Nov21 14:39:23	 0.01hr	24.91	96.47	com24	39.98	 0.00
09Nov21 14:39:23	 0.01hr	24.91	96.47	com25	40.00	 0.00
09Nov21 14:39:23	 0.01hr	24.91	96.47	com26	40.00	 0.00
09Nov21 14:39:23	 0.01hr	24.91	96.47	com27	40.00	 0.00
09Nov21 14:39:23	 0.01hr	24.91	96.47	com28	40.01	 0.00
09Nov21 14:39:25	 0.01hr	24.90	96.47	com23	30.15	 5.71
09Nov21 14:39:25	 0.01hr	24.90	96.47	com24	39.99	 0.00
09Nov21 14:39:25	 0.01hr	24.90	96.47	com25	40.00	 0.00
09Nov21 14:39:25	 0.01hr	24.90	96.47	com26	40.00	 0.00
09Nov21 14:39:25	 0.01hr	24.90	96.47	com27	40.00	 0.00
09Nov21 14:39:25	 0.01hr	24.90	96.47	com28	40.01	 0.00
09Nov21 14:39:28	 0.01hr	24.90	96.47	com23	30.15	 5.71
09Nov21 14:39:28	 0.01hr	24.90	96.47	com24	39.99	 0.00
09Nov21 14:39:28	 0.01hr	24.90	96.47	com25	40.00	 0.00
09Nov21 14:39:28	 0.01hr	24.90	96.47	com26	40.00	 0.00
09Nov21 14:39:28	 0.01hr	24.90	96.47	com27	40.00	 0.00
09Nov21 14:39:28	 0.01hr	24.90	96.47	com28	40.01	 0.00
09Nov21 14:39:31	 0.01hr	24.89	96.47	com23	30.15	 5.71
09Nov21 14:39:31	 0.01hr	24.89	96.47	com24	39.99	 0.00
09Nov21 14:39:31	 0.01hr	24.89	96.47	com25	40.00	 0.00
09Nov21 14:39:31	 0.01hr	24.89	96.47	com26	40.00	 0.00
09Nov21 14:39:31	 0.01hr	24.89	96.47	com27	39.99	 0.00
09Nov21 14:39:31	 0.01hr	24.89	96.47	com28	40.01	 0.00
09Nov21 14:39:34	 0.01hr	24.88	96.47	com23	30.15	 5.71
09Nov21 14:39:34	 0.01hr	24.88	96.47	com24	39.99	 0.00
09Nov21 14:39:34	 0.01hr	24.88	96.47	com25	40.00	 0.00
09Nov21 14:39:34	 0.01hr	24.88	96.47	com26	40.00	 0.00
09Nov21 14:39:34	 0.01hr	24.88	96.47	com27	40.00	 0.00
09Nov21 14:39:34	 0.01hr	24.88	96.47	com28	40.01	 0.00
09Nov21 14:39:36	 0.01hr	24.87	96.47	com23	30.15	 5.71
09Nov21 14:39:36	 0.01hr	24.87	96.47	com24	39.99	 0.00
09Nov21 14:39:36	 0.01hr	24.87	96.47	com25	40.00	 0.00
09Nov21 14:39:36	 0.01hr	24.87	96.47	com26	40.00	 0.00
09Nov21 14:39:36	 0.01hr	24.87	96.47	com27	40.00	 0.00
09Nov21 14:39:36	 0.01hr	24.87	96.47	com28	40.01	 0.00
09Nov21 14:39:39	 0.01hr	24.87	96.47	com23	30.15	 5.71
09Nov21 14:39:39	 0.01hr	24.87	96.47	com24	39.99	 0.00
09Nov21 14:39:39	 0.01hr	24.87	96.47	com25	40.00	 0.00
09Nov21 14:39:39	 0.01hr	24.87	96.47	com26	40.00	 0.00
09Nov21 14:39:39	 0.01hr	24.87	96.47	com27	39.99	 0.00
09Nov21 14:39:39	 0.01hr	24.87	96.47	com28	40.01	 0.00
09Nov21 14:39:42	 0.01hr	24.86	96.47	com23	30.15	 5.71
09Nov21 14:39:42	 0.01hr	24.86	96.47	com24	39.99	 0.00
09Nov21 14:39:42	 0.01hr	24.86	96.47	com25	40.00	 0.00
09Nov21 14:39:42	 0.01hr	24.86	96.47	com26	40.00	 0.00
09Nov21 14:39:42	 0.01hr	24.86	96.47	com27	40.00	 0.00
09Nov21 14:39:42	 0.01hr	24.86	96.47	com28	40.01	 0.00
09Nov21 14:39:44	 0.01hr	24.85	96.47	com23	30.15	 5.71
09Nov21 14:39:44	 0.01hr	24.85	96.47	com24	39.99	 0.00
09Nov21 14:39:44	 0.01hr	24.85	96.47	com25	40.00	 0.00
09Nov21 14:39:44	 0.01hr	24.85	96.47	com26	40.00	 0.00
